#
# contig_name	read_name
#
minuta_c20	GO1G54I02FX5J2
minuta_c20	GO1G54I02GJMXM
minuta_c20	GO1G54I02GWBUF
minuta_c20	GO1G54I02IX538
minuta_c20	GO1G54I02HMIFG
minuta_c20	GO1G54I02HL90T
minuta_c20	GO1G54I02JO0RF
minuta_c20	GO1G54I02GNKAA
minuta_c20	GO1G54I02I69G0
minuta_c20	GO1G54I02FYHPE
minuta_c20	GO1G54I02FR0YV
minuta_c20	GO1G54I02G6MV0
minuta_c20	GO1G54I02GT6EO
minuta_c20	GO1G54I02H8BMB
minuta_c20	GO1G54I02JIK4R
minuta_c20	GO1G54I02FI11Y
minuta_c20	GO1G54I02G151E
minuta_c20	GO1G54I02IKIZW
minuta_c20	GO1G54I02FKV4H
minuta_c20	GO1G54I02H3OVQ
minuta_c20	GO1G54I02JN1WG
minuta_c20	GO1G54I02F1EGH
minuta_c20	GO1G54I02HR3RH
minuta_c20	GO1G54I02G0C6W
minuta_c20	GO1G54I02JNJ7U
minuta_c20	GO1G54I02H1HFI
minuta_c20	GO1G54I02FYRY1
minuta_c20	GO1G54I02JN1OU
minuta_c20	GO1G54I02FM0RQ
minuta_c20	GO1G54I02GN1QM
minuta_c20	GO1G54I02FN2WE
minuta_c20	GO1G54I02IO3K5
minuta_c20	GO1G54I02ICAN9
minuta_c20	GO1G54I02HE9TV
minuta_c20	GO1G54I02HIEKU
minuta_c20	GO1G54I02JB1U9
minuta_c20	GO1G54I02G4H9Z
minuta_c20	GO1G54I02IKGN8
minuta_c20	GO1G54I02F26EO
minuta_c21	GO1G54I02H8I1U
minuta_c21	GO1G54I02FT7LR
minuta_c21	GO1G54I02HB5MZ
minuta_c21	GO1G54I02FVGLD
minuta_c21	GO1G54I02INB5E
minuta_c21	GO1G54I02HECLK
minuta_c21	GO1G54I02IEFW9
minuta_c21	GO1G54I02G3BHY
minuta_c21	GO1G54I02FGLP6
minuta_c21	GO1G54I02H19VB
minuta_c21	GO1G54I02HEKDC
minuta_c21	GO1G54I02HWHBF
minuta_c21	GO1G54I02ITNKN
minuta_c21	GO1G54I02HHH8T
minuta_c21	GO1G54I02GGUSF
minuta_c21	GO1G54I02HWAIM
minuta_c21	GO1G54I02GN343
minuta_c21	GO1G54I02HOB70
minuta_c21	GO1G54I02HGS5K
minuta_c21	GO1G54I02HZ82V
minuta_c22	GO1G54I02JS7TL
minuta_c22	GO1G54I02GQTRR
minuta_c22	GO1G54I02F2XFC
minuta_c22	GO1G54I02I0RRO
minuta_c22	GO1G54I02HF8CI
minuta_c22	GO1G54I02F8NHL
minuta_c22	GO1G54I02HEBPQ
minuta_c22	GO1G54I02IXVAP
minuta_c22	GO1G54I02HE1J6
minuta_c22	GO1G54I02HU8GO
minuta_c22	GO1G54I02HGP72
minuta_c23	GO1G54I02F35U1
minuta_c23	GO1G54I02JR0T6
minuta_c23	GO1G54I02IQ1GQ
minuta_c23	GO1G54I02G5XYV
minuta_c23	GO1G54I02G9EX6
minuta_c23	GO1G54I02F5X69
minuta_c23	GO1G54I02H2W8V
minuta_c23	GO1G54I02HLOIV
minuta_c23	GO1G54I02GB8UR
minuta_c23	GO1G54I02H9WV6
minuta_c23	GO1G54I02G5MBY
minuta_c23	GO1G54I02GSZWX
minuta_c23	GO1G54I02I2WEV
minuta_c23	GO1G54I02IMAUX
minuta_c23	GO1G54I02FXHYK
minuta_c23	GO1G54I02G5UCQ
minuta_c23	GO1G54I02IV5V3
minuta_c23	GO1G54I02H0SBF
minuta_c23	GO1G54I02G4L4G
minuta_c23	GO1G54I02IX5NU
minuta_c23	GO1G54I02JSOEM
minuta_c23	GO1G54I02ITZ5K
minuta_c23	GO1G54I02I3J4U
minuta_c23	GO1G54I02HUP7G
